"id","name","type","address","city","postcode","lat","lon","website","phone","opening_hours","price_tier","avg_rating","suggested_duration","tags","image_url","description_short","description_long","description_last_generated","review_count_at_generation"
1,"British Museum","Museum","Great Russell St","London","WC1B 3DG",51.5194,-0.127,"https://www.britishmuseum.org","+44 20 7323 8299","10:00-17:00",1,4.8,180,"History;Rainy Day;Family","https://plus.unsplash.com/premium_photo-1661925387774-b1ba6b7bb0ad?q=80&w=1161&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","World-famous museum of human history and culture.","World-famous museum of human history and culture.","2026-04-08 08:49:47",0
12,"National Museum of Scotland","Museum","Chambers St","Edinburgh","EH1 1JF",55.9469,-3.1904,"https://www.nms.ac.uk","+44 300 123 6789","10:00-17:00",1,4.8,120,"History;Family;Rainy Day","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Museum_of_Scotland.jpg/500px-Museum_of_Scotland.jpg","Collections of Scottish antiquities and culture.","The National Museum of Scotland offers a captivating journey through Scotland’s rich past and vibrant culture. Visitors often find themselves drawn to the extensive collections of Scottish antiquities, spanning from prehistoric times to the present day. Exploring the museum’s galleries reveals fascinating stories of family life, significant historical events, and the evolution of Scottish traditions. It’s a wonderful place to delve into the nation’s heritage and gain a deeper understanding of its identity. This museum is particularly well-suited for a rainy day in Edinburgh, providing a stimulating and engaging indoor experience. Many guests come back for the atmosphere and the sheer breadth of exhibits, which cover everything from natural history to engineering, ensuring there’s something to pique everyone’s interest.","2026-04-09 19:20:39",0
13,"Arthur's Seat","Nature","Holyrood Park","Edinburgh","EH8 8AZ",55.9442,-3.1618,"https://www.historicenvironment.scot","","24-Jul",1,4.7,120,"Hiking;Views;Nature","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Arthur%27s_Seat_from_Salisbury_Crags.jpg/800px-Arthur%27s_Seat_from_Salisbury_Crags.jpg","Ancient volcano sitting 251m above sea level.","Arthur’s Seat dominates the Edinburgh skyline, a dramatic ancient volcano rising to an impressive 251 meters above sea level. This iconic landmark offers a rewarding hiking experience for visitors of all abilities, with trails winding their way up the steep slopes. The effort is undeniably worth it, as the panoramic views from the summit are simply breathtaking, encompassing the entire city, the Firth of Forth, and the surrounding Scottish countryside. Many guests describe a profound connection to nature while exploring the volcanic terrain, appreciating the diverse plant life and the sense of history embedded within the landscape. Visitors often find themselves returning to Arthur’s Seat, drawn back by the combination of challenging hikes, stunning vistas, and the unique atmosphere of this remarkable natural wonder.","2026-04-19 19:00:49",0
14,"Kelvingrove Art Gallery","Gallery","Argyle St","Glasgow","G3 8AG",55.8686,-4.2906,"https://www.glasgowlife.org.uk","+44 141 276 9599","10:00-17:00",1,4.7,90,"Art;History;Free","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Kelvingrove_Art_Gallery_and_Museum.jpg/800px-Kelvingrove_Art_Gallery_and_Museum.jpg","Grand museum featuring 22 themed galleries.","","",0
15,"Riverside Museum","Museum","100 Pointhouse Rd","Glasgow","G3 8RS",55.8651,-4.3061,"https://www.glasgowlife.org.uk","+44 141 287 2720","10:00-17:00",1,4.6,90,"Transport;Kids;Modern","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Riverside_Museum_Glasgow_2011.jpg/800px-Riverside_Museum_Glasgow_2011.jpg","Award-winning transport museum designed by Zaha Hadid.","","",0
16,"Brighton Palace Pier","Attraction","Madeira Dr","Brighton","BN2 1TW",50.8163,-0.1373,"https://www.brightonpier.co.uk","+44 1273 609361","10:00-20:00",2,4.3,60,"Seaside;Fun;Arcade","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Brighton_Pier_at_sunset.jpg/800px-Brighton_Pier_at_sunset.jpg","Famous pleasure pier with rides and arcades.","","",0
17,"Royal Pavilion","History","4/5 Pavilion Bldgs","Brighton","BN1 1EE",50.8228,-0.1375,"https://brightonmuseums.org.uk","+44 300 029 0900","10:00-17:15",3,4.5,75,"Architecture;Royal;Unique","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Royal_Pavilion_Brighton.jpg/800px-Royal_Pavilion_Brighton.jpg","Exotic palace with Indian and Chinese influence.","","",0
18,"York Minster","History","Deangate","York","YO1 7HH",53.9623,-1.0819,"https://yorkminster.org","+44 1904 557200","09:30-16:00",3,4.7,60,"Religion;Architecture;Views","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/York_Minster_from_Mogay.jpg/800px-York_Minster_from_Mogay.jpg","One of the largest cathedrals in Northern Europe.","","",0
19,"The Shambles","History","The Shambles","York","YO1 7LX",53.9594,-1.0804,"https://www.visityork.org","","24-Jul",1,4.6,30,"Shopping;Harry Potter;Quaint","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/The_Shambles%2C_York%2C_England.jpg/800px-The_Shambles%2C_York%2C_England.jpg","Medieval narrow street with timber-framed buildings.","The Shambles in York is a truly remarkable street, transporting visitors back to a medieval era. This incredibly narrow thoroughfare is characterized by its tightly packed timber-framed buildings, leaning precariously towards each other as if sharing secrets across the centuries. Originally a street of butchers, the architecture has been wonderfully preserved, creating a uniquely atmospheric experience. Many guests describe The Shambles as utterly quaint, a delightful maze of shops selling everything from Harry Potter merchandise to handcrafted gifts. Visitors often find themselves returning to soak in the ambiance and capture photographs of this iconic York landmark, appreciating its historical charm and the feeling of stepping into a storybook.","2026-04-19 16:26:44",0
20,"Jorvik Viking Centre","Museum","19 Coppergate","York","YO1 9WT",53.9576,-1.0805,"https://www.jorvikvikingcentre.co.uk","+44 1904 615505","10:00-17:00",3,4.5,60,"History;Vikings;Interactive","https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Jorvik_Viking_Centre_street_scene.jpg/800px-Jorvik_Viking_Centre_street_scene.jpg","Reconstruction of Viking-age streets and smells.","","",0
21,"Royal Albert Dock","Attraction","3-4 The Colonnades","Liverpool","L3 4AA",53.4014,-2.9936,"https://albertdock.com","+44 151 709 8111","24-Jul",1,4.7,60,"History;Walk;Food","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Albert_Dock_Liverpool.jpg/800px-Albert_Dock_Liverpool.jpg","Historic waterfront complex with museums and bars.","","",0
22,"The Beatles Story","Museum","Britannia Vaults","Liverpool","L3 4AD",53.3992,-2.9922,"https://www.beatlesstory.com","+44 151 709 1963","09:00-17:00",3,4.5,90,"Music;Culture;Fans","https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Beatles_Story_entrance.jpg/800px-Beatles_Story_entrance.jpg","The world's largest permanent Beatles exhibition.","The Beatles Story offers an immersive journey into the lives and music of the Fab Four, and it’s truly a remarkable experience. As the world’s largest permanent Beatles exhibition, it’s a must-see for any fan of the band or anyone interested in understanding the cultural impact of Liverpool’s most famous sons. Visitors often find themselves captivated by the sheer scale of the collection, which spans everything from their early days playing in the Cavern Club to their global superstardom. The exhibition expertly blends music, culture, and the devoted fanbase that grew around them, creating a powerful and nostalgic atmosphere. Many guests return to The Beatles Story specifically for the atmosphere and the chance to delve deeper into the band’s story. It’s a place where memories are made, and a genuine appreciation for the Beatles’ legacy is fostered, solidifying its place as a central attraction in Liverpool’s vibrant tourism scene.","2026-04-19 13:00:17",0
23,"Chester Zoo","Zoo","Moston Rd","Chester","CH2 1EU",53.2274,-2.8844,"https://www.chesterzoo.org","+44 1244 380280","10:00-17:00",4,4.8,240,"Animals;Family;Outdoor","https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Elephants_at_Chester_Zoo.jpg/800px-Elephants_at_Chester_Zoo.jpg","UK's most visited zoo with over 35000 animals.","","",0
24,"Lake Windermere","Nature","Windermere","Cumbria","LA23 1LJ",54.3739,-2.9376,"https://www.lakedistrict.gov.uk","","24-Jul",2,4.8,120,"Lakes;Boating;Scenery","https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Windermere_Lake.jpg/800px-Windermere_Lake.jpg","Largest natural lake in England.","","",0
25,"Eden Project","Nature","Bodelva","Cornwall","PL24 2SG",50.3605,-4.7447,"https://www.edenproject.com","+44 1726 811911","09:30-18:00",4,4.5,180,"Nature;Eco;Gardens","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Eden_Project_geodesic_domes_panorama.jpg/800px-Eden_Project_geodesic_domes_panorama.jpg","Massive biomes housing the world's largest rainforest.","The Eden Project in Cornwall is a truly remarkable destination, a testament to the power of nature and innovative design. Visitors are immediately struck by the scale of the site, particularly the two enormous biomes – the Rainforest and the Mediterranean. Within the Rainforest biome, you’ll discover the world’s largest rainforest, a vibrant and humid environment teeming with plant and animal life from across the globe. The Mediterranean biome offers a completely different experience, showcasing a diverse range of flora and fauna from the Mediterranean region, all within a stunning, climate-controlled space. Many guests describe the Eden Project as an immersive and unforgettable experience, a place where the concepts of nature, ecology, and gardens converge. It’s a popular spot where visitors often find themselves returning to reconnect with the natural world and appreciate the beauty and fragility of our planet’s ecosystems. The atmosphere is consistently captivating, drawing people in with its unique design and educational offerings.","2026-04-19 18:44:16",0
26,"St Michael's Mount","History","Marazion","Cornwall","TR17 0HS",50.1171,-5.4776,"https://www.stmichaelsmount.co.uk","+44 1736 710265","10:00-17:00",3,4.7,120,"Island;Castle;Tides","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/St_Michael%27s_Mount_from_Marazion_Beach.jpg/800px-St_Michael%27s_Mount_from_Marazion_Beach.jpg","Tidal island with a medieval church and castle.","Discover the magic of St Michael's Mount, a truly unique tidal island experience in Cornwall. This iconic destination boasts a magnificent medieval church and castle, perched majestically atop its rocky peak, offering breathtaking views and centuries of history. Visitors are captivated by the dramatic spectacle of the tides, which transform access from a cobbled causeway to a charming boat trip, adding an unforgettable layer of adventure to every visit to this historic island castle.","2026-04-08 12:23:40",0
27,"Windsor Castle","Castle","Windsor","Windsor","SL4 1NJ",51.4839,-0.6044,"https://www.rct.uk/visit/windsor-castle","+44 303 123 7304","10:00-17:15",4,4.5,120,"Royal;History;Castle","https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Windsor_Castle_Upper_Ward_Quadrangle_view_from_Round_Tower.jpg/800px-Windsor_Castle_Upper_Ward_Quadrangle_view_from_Round_Tower.jpg","The oldest and largest occupied castle in the world.","Discover Windsor Castle in Berkshire","2026-04-08 12:22:01",0
28,"Warwick Castle","Castle","Warwick","Warwick","CV34 4QU",52.2792,-1.5852,"https://www.warwick-castle.com","+44 1926 495421","10:00-16:00",4,4.4,180,"Family;Events;History","https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Warwick_Castle_East_Front.jpg/800px-Warwick_Castle_East_Front.jpg","Medieval castle with daily shows and attractions.","Warwick Castle, a magnificent medieval fortress nestled in the heart of Warwickshire, offers a truly immersive experience for the whole family. Daily shows, including jousting tournaments and falconry displays, bring history vividly to life alongside fascinating exhibitions exploring the castle’s rich past and impressive architecture. Visitors consistently praise the castle’s engaging events and the sense of stepping back in time, making it a memorable destination for families and anyone eager to connect with England’s captivating heritage.","2026-04-08 12:35:13",0
29,"Titanic Belfast","Museum","1 Olympic Way","Belfast","BT3 9EP",54.6078,-5.908,"https://www.titanicbelfast.com","+44 28 9076 6386","09:00-18:00",3,4.7,120,"History;Maritime;Modern","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Titanic_Belfast_2012.jpg/800px-Titanic_Belfast_2012.jpg","Visitor attraction on the spot Titanic was built.","","",0
30,"Giant's Causeway","Nature","44 Causeway Rd","Antrim","BT57 8SU",55.2408,-6.5116,"https://www.nationaltrust.org.uk","+44 28 2073 1855","09:00-18:00",2,4.7,90,"Nature;Hiking;Geology","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Giants_Causeway_2010.jpg/800px-Giants_Causeway_2010.jpg","Area of 40000 interlocking basalt columns.","The Giant’s Causeway in Northern Ireland is a truly remarkable natural wonder. Spanning over 40,000 interlocking basalt columns, this UNESCO World Heritage site presents a dramatic landscape shaped by ancient volcanic activity. The geology here is fascinating, offering a tangible connection to the earth’s powerful past, and visitors often find themselves captivated by the sheer scale and unusual formations. Hiking trails wind along the Causeway’s edge, providing stunning coastal views and opportunities to explore the unique hexagonal basalt. Many guests return to the Giant’s Causeway specifically to experience its atmospheric beauty and to appreciate the incredible natural processes that created it. The area’s rugged coastline and the legend of the giant Finn McCool add to the sense of wonder, making it a memorable destination for those interested in both nature and history.","2026-04-22 20:57:06",0
31,"Carrick-a-Rede Rope Bridge","Nature","119a Whitepark Rd","Antrim","BT54 6LS",55.2398,-6.3326,"https://www.nationaltrust.org.uk","+44 28 2076 9839","09:30-17:30",3,4.6,60,"Adventure;Views;Scary","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Carrick-a-Rede_Rope_Bridge_Northern_Ireland.jpg/800px-Carrick-a-Rede_Rope_Bridge_Northern_Ireland.jpg","Rope bridge spanning 20 metres to a tiny island.","","",0
32,"Crumlin Road Gaol","History","53-55 Crumlin Rd","Belfast","BT14 6ST",54.6094,-5.9422,"https://www.crumlinroadgaol.com","+44 28 9074 1500","10:00-16:30",3,4.6,60,"History;Dark;Tours","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Crumlin_Road_Gaol_Belfast.jpg/800px-Crumlin_Road_Gaol_Belfast.jpg","19th-century prison with historical tours.","","",0
33,"Cardiff Castle","Castle","Castle St","Cardiff","CF10 3RB",51.4815,-3.1806,"https://www.cardiffcastle.com","+44 29 2087 8100","09:00-18:00",3,4.5,90,"History;Gothic;Wales","https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Cardiff_Castle.jpg/800px-Cardiff_Castle.jpg","Medieval castle and Victorian Gothic revival mansion.","","",0
34,"St Fagans National Museum","Museum","St Fagans","Cardiff","CF5 6XB",51.4868,-3.2721,"https://museum.wales/stfagans","+44 300 111 2333","10:00-17:00",1,4.8,180,"History;Open Air;Wales","https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/St_Fagans_National_History_Museum.jpg/800px-St_Fagans_National_History_Museum.jpg","Open-air museum chronicling Welsh life.","St Fagans National Museum of History offers a truly unique glimpse into the rich and varied history of Wales. This open-air museum meticulously recreates life across different periods, showcasing traditional Welsh homes, farms, workshops, and even a castle. Visitors often find themselves transported back in time as they explore buildings relocated from across the country, each brimming with authentic details and stories of the people who once lived within them. The museum’s success lies in its ability to capture the spirit of Wales’ past, providing a tangible connection to its heritage. Many guests come back for the atmosphere, appreciating the sense of stepping into a living, breathing record of Welsh history. It’s a remarkable place to learn about the evolution of Welsh life, from rural communities to urban centers, and a rewarding experience for anyone interested in the history of Wales.","2026-04-09 19:20:48",0
35,"Snowdon Mountain Railway","Nature","Llanberis","Gwynedd","LL55 4TT",53.1165,-4.1186,"https://snowdonrailway.co.uk","+44 1286 870223","Varies by season",4,4.5,150,"Nature;Train;Views","https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Snowdon_Mountain_Railway_No._2.jpg/800px-Snowdon_Mountain_Railway_No._2.jpg","Rack and pinion railway to the summit of Snowdon.","The Snowdon Mountain Railway offers a truly unique way to experience the majestic beauty of Snowdonia National Park. This remarkable rack and pinion railway ascends the mountain’s slopes, providing a fascinating journey through diverse landscapes. Passengers are transported in vintage carriages, experiencing the thrill of a working railway as it climbs steadily towards the summit. Visitors often describe the experience as both exhilarating and deeply moving, captivated by the stunning nature surrounding them. The views from the summit are consistently praised as breathtaking, offering panoramic vistas of the Welsh countryside. Many guests come back for the atmosphere, appreciating the historic engineering and the unforgettable scenery that unfolds with every rotation of the pinion wheels.","2026-04-19 18:49:38",0
36,"Pontcysyllte Aqueduct","Nature","Station Rd","Wrexham","LL20 7TG",52.9705,-3.0878,"https://www.pontcysyllte-aqueduct.co.uk","","24-Jul",1,4.7,45,"Views;Canal;Height","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Pontcysyllte_Aqueduct.jpg/800px-Pontcysyllte_Aqueduct.jpg","Navigable aqueduct that carries the Llangollen Canal.","","",0
37,"Conwy Castle","Castle","Rose Hill St","Conwy","LL32 8AY",53.2801,-3.8262,"https://cadw.gov.wales","+44 300 025 2239","09:30-17:00",3,4.7,90,"History;Fortress;Views","https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Conwy_Castle_from_south_west.jpg/800px-Conwy_Castle_from_south_west.jpg","Gritty, dark-stoned fortress built by Edward I.","","",0
38,"Portmeirion Village","Attraction","Minffordd","Gwynedd","LL48 6ER",52.9133,-4.0991,"https://portmeirion.wales","+44 1766 770000","09:30-18:30",3,4.4,120,"Architecture;Italian;Unique","https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Portmeirion_Village.jpg/800px-Portmeirion_Village.jpg","Tourist village designed in the style of an Italian village.","","",0
39,"Caernarfon Castle","Castle","Castle Ditch","Gwynedd","LL55 2AY",53.1393,-4.2769,"https://cadw.gov.wales","+44 300 025 2239","09:30-17:00",3,4.6,90,"History;Royal;Fortress","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Caernarfon_Castle_Eagle_Tower_and_Queen%27s_Tower.jpg/800px-Caernarfon_Castle_Eagle_Tower_and_Queen%27s_Tower.jpg","Medieval fortress and World Heritage Site.","","",0
40,"Eilean Donan Castle","Castle","Dornie","Highlands","IV40 8DX",57.2739,-5.5161,"https://www.eileandonancastle.com","+44 1599 555202","10:00-16:00",3,4.6,60,"Iconic;Views;Scotland","https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Eilean_Donan_Castle%2C_Scotland_-_May_2009.jpg/800px-Eilean_Donan_Castle%2C_Scotland_-_May_2009.jpg","One of the most photographed monuments in Scotland.","","",0
