id,name,type,address,city,postcode,lat,lon,website,phone,opening_hours,price_tier,avg_rating,suggested_duration,tags,image_url,description_short
24,Lake Windermere,Nature,Windermere,Cumbria,LA23 1LJ,54.3739,-2.9376,https://www.lakedistrict.gov.uk,,24-Jul,2,4.8,120,Lakes;Boating;Scenery,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Windermere_Lake.jpg/800px-Windermere_Lake.jpg,Largest natural lake in England.
25,Eden Project,Nature,Bodelva,Cornwall,PL24 2SG,50.3605,-4.7447,https://www.edenproject.com,+44 1726 811911,09:30-18:00,4,4.5,180,Nature;Eco;Gardens,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Eden_Project_geodesic_domes_panorama.jpg/800px-Eden_Project_geodesic_domes_panorama.jpg,Massive biomes housing the world's largest rainforest.
26,St Michael's Mount,History,Marazion,Cornwall,TR17 0HS,50.1171,-5.4776,https://www.stmichaelsmount.co.uk,+44 1736 710265,10:00-17:00,3,4.7,120,Island;Castle;Tides,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/St_Michael%27s_Mount_from_Marazion_Beach.jpg/800px-St_Michael%27s_Mount_from_Marazion_Beach.jpg,Tidal island with a medieval church and castle.
27,Windsor Castle,Castle,Windsor,Berkshire,SL4 1NJ,51.4839,-0.6044,https://www.rct.uk/visit/windsor-castle,+44 303 123 7304,10:00-17:15,4,4.5,120,Royal;History;Castle,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Windsor_Castle_Upper_Ward_Quadrangle_view_from_Round_Tower.jpg/800px-Windsor_Castle_Upper_Ward_Quadrangle_view_from_Round_Tower.jpg,The oldest and largest occupied castle in the world.
28,Warwick Castle,Castle,Warwick,Warwickshire,CV34 4QU,52.2792,-1.5852,https://www.warwick-castle.com,+44 1926 495421,10:00-16:00,4,4.4,180,Family;Events;History,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Warwick_Castle_East_Front.jpg/800px-Warwick_Castle_East_Front.jpg,Medieval castle with daily shows and attractions.
29,Titanic Belfast,Museum,1 Olympic Way,Belfast,BT3 9EP,54.6078,-5.908,https://www.titanicbelfast.com,+44 28 9076 6386,09:00-18:00,3,4.7,120,History;Maritime;Modern,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Titanic_Belfast_2012.jpg/800px-Titanic_Belfast_2012.jpg,Visitor attraction on the spot Titanic was built.
30,Giant's Causeway,Nature,44 Causeway Rd,Antrim,BT57 8SU,55.2408,-6.5116,https://www.nationaltrust.org.uk,+44 28 2073 1855,09:00-18:00,2,4.7,90,Nature;Hiking;Geology,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Giants_Causeway_2010.jpg/800px-Giants_Causeway_2010.jpg,Area of 40000 interlocking basalt columns.
31,Carrick-a-Rede Rope Bridge,Nature,119a Whitepark Rd,Antrim,BT54 6LS,55.2398,-6.3326,https://www.nationaltrust.org.uk,+44 28 2076 9839,09:30-17:30,3,4.6,60,Adventure;Views;Scary,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Carrick-a-Rede_Rope_Bridge_Northern_Ireland.jpg/800px-Carrick-a-Rede_Rope_Bridge_Northern_Ireland.jpg,Rope bridge spanning 20 metres to a tiny island.
32,Crumlin Road Gaol,History,53-55 Crumlin Rd,Belfast,BT14 6ST,54.6094,-5.9422,https://www.crumlinroadgaol.com,+44 28 9074 1500,10:00-16:30,3,4.6,60,History;Dark;Tours,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Crumlin_Road_Gaol_Belfast.jpg/800px-Crumlin_Road_Gaol_Belfast.jpg,19th-century prison with historical tours.
33,Cardiff Castle,Castle,Castle St,Cardiff,CF10 3RB,51.4815,-3.1806,https://www.cardiffcastle.com,+44 29 2087 8100,09:00-18:00,3,4.5,90,History;Gothic;Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Cardiff_Castle.jpg/800px-Cardiff_Castle.jpg,Medieval castle and Victorian Gothic revival mansion.
34,St Fagans National Museum,Museum,St Fagans,Cardiff,CF5 6XB,51.4868,-3.2721,https://museum.wales/stfagans,+44 300 111 2333,10:00-17:00,1,4.8,180,History;Open Air;Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/St_Fagans_National_History_Museum.jpg/800px-St_Fagans_National_History_Museum.jpg,Open-air museum chronicling Welsh life.
35,Snowdon Mountain Railway,Nature,Llanberis,Gwynedd,LL55 4TT,53.1165,-4.1186,https://snowdonrailway.co.uk,+44 1286 870223,Varies by season,4,4.5,150,Nature;Train;Views,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Snowdon_Mountain_Railway_No._2.jpg/800px-Snowdon_Mountain_Railway_No._2.jpg,Rack and pinion railway to the summit of Snowdon.
36,Pontcysyllte Aqueduct,Nature,Station Rd,Wrexham,LL20 7TG,52.9705,-3.0878,https://www.pontcysyllte-aqueduct.co.uk,,24-Jul,1,4.7,45,Views;Canal;Height,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Pontcysyllte_Aqueduct.jpg/800px-Pontcysyllte_Aqueduct.jpg,Navigable aqueduct that carries the Llangollen Canal.
37,Conwy Castle,Castle,Rose Hill St,Conwy,LL32 8AY,53.2801,-3.8262,https://cadw.gov.wales,+44 300 025 2239,09:30-17:00,3,4.7,90,History;Fortress;Views,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Conwy_Castle_from_south_west.jpg/800px-Conwy_Castle_from_south_west.jpg,"Gritty, dark-stoned fortress built by Edward I."
38,Portmeirion Village,Attraction,Minffordd,Gwynedd,LL48 6ER,52.9133,-4.0991,https://portmeirion.wales,+44 1766 770000,09:30-18:30,3,4.4,120,Architecture;Italian;Unique,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Portmeirion_Village.jpg/800px-Portmeirion_Village.jpg,Tourist village designed in the style of an Italian village.
39,Caernarfon Castle,Castle,Castle Ditch,Gwynedd,LL55 2AY,53.1393,-4.2769,https://cadw.gov.wales,+44 300 025 2239,09:30-17:00,3,4.6,90,History;Royal;Fortress,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Caernarfon_Castle_Eagle_Tower_and_Queen%27s_Tower.jpg/800px-Caernarfon_Castle_Eagle_Tower_and_Queen%27s_Tower.jpg,Medieval fortress and World Heritage Site.
40,Eilean Donan Castle,Castle,Dornie,Highlands,IV40 8DX,57.2739,-5.5161,https://www.eileandonancastle.com,+44 1599 555202,10:00-16:00,3,4.6,60,Iconic;Views;Scotland,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Eilean_Donan_Castle%2C_Scotland_-_May_2009.jpg/800px-Eilean_Donan_Castle%2C_Scotland_-_May_2009.jpg,One of the most photographed monuments in Scotland.
41,Skara Brae,History,Sandwick,Orkney,KW16 3LR,59.0494,-3.3411,https://www.historicenvironment.scot,+44 1856 841815,09:30-17:30,3,4.7,60,Ancient;Archaeology;Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Skara_Brae.jpg/800px-Skara_Brae.jpg,Stone-built Neolithic settlement.
42,Loch Ness Centre,Attraction,Drumnadrochit,Highlands,IV63 6TU,57.3366,-4.4795,https://lochness.com,+44 1456 453412,10:00-17:00,3,4,60,Mystery;Nature;Water,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Loch_Ness_looking_south.jpg/800px-Loch_Ness_looking_south.jpg,Exhibition centre exploring the loch and its monster.
43,Durham Cathedral,History,The College,Durham,DH1 3EH,54.7735,-1.5764,https://www.durhamcathedral.co.uk,+44 191 338 7178,10:00-16:00,1,4.8,60,Religion;Architecture;Harry Potter,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Durham_Cathedral._The_River_Wear.jpg/800px-Durham_Cathedral._The_River_Wear.jpg,UNESCO site and masterpiece of Romanesque architecture.
44,Angel of the North,Art,Durham Rd,Gateshead,NE9 7TY,54.9141,-1.5894,https://www.gateshead.gov.uk,,24-Jul,1,4.4,20,Art;Iconic;Roadside,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Angel_of_the_North_across_A1.jpg/800px-Angel_of_the_North_across_A1.jpg,Contemporary sculpture by Antony Gormley.
45,Lindisfarne Castle,Castle,Holy Island,Northumberland,TD15 2SE,55.6687,-1.7853,https://www.nationaltrust.org.uk,+44 1289 389244,Check tide times,3,4.5,60,History;Island;Tides,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Lindisfarne_Castle_Holy_Island.jpg/800px-Lindisfarne_Castle_Holy_Island.jpg,16th-century castle located on Holy Island.
46,Seven Sisters Cliffs,Nature,Exceat,Sussex,BN25 4AD,50.7584,0.1903,https://www.sevensisters.org.uk,,24-Jul,1,4.8,120,Hiking;Views;Coast,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seven_Sisters_Sussex.jpg/800px-Seven_Sisters_Sussex.jpg,Series of chalk cliffs by the English Channel.
47,Durdle Door,Nature,West Lulworth,Dorset,BH20 5PU,50.6211,-2.2769,https://www.visit-dorset.com,,24-Jul,1,4.7,90,Beaches;Hiking;Coast,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Durdle_Door_Overview.jpg/800px-Durdle_Door_Overview.jpg,Natural limestone arch on the Jurassic Coast.
48,Cotswold Wildlife Park,Zoo,Bradwell Grove,Burford,OX18 4JP,51.7891,-1.6569,https://www.cotswoldwildlifepark.co.uk,+44 1993 823006,10:00-18:00,3,4.6,180,Animals;Family;Gardens,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cotswold_Wildlife_Park_Manor_House.jpg/800px-Cotswold_Wildlife_Park_Manor_House.jpg,Park set in 160 acres of parkland and gardens.
49,Blenheim Palace,History,Woodstock,Oxfordshire,OX20 1PP,51.8416,-1.3614,https://www.blenheimpalace.com,+44 1993 810530,10:30-17:30,4,4.5,150,History;Gardens;Luxury,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Blenheim_Palace_2006.jpg/800px-Blenheim_Palace_2006.jpg,Monumental country house and birthplace of Churchill.
50,Shakespeare's Birthplace,History,Henley St,Stratford-upon-Avon,CV37 6QW,52.1935,-1.7068,https://www.shakespeare.org.uk,+44 1789 204016,10:00-16:00,3,4.4,60,History;Literature;Tudor,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Shakespeare%27s_Birthplace_Stratford.jpg/800px-Shakespeare%27s_Birthplace_Stratford.jpg,Restored 16th-century half-timbered house.
51,The Savoy,Hotel,Strand,London,WC2R 0EZ,51.5106,-0.12,https://www.thesavoylondon.com,+44 20 7836 4343,24-Jul,4,4.7,0,Luxury;History;Iconic,,
52,Hotel Cafe Royal,Hotel,68 Regent Street,London,W1B 4DY,51.51,-0.136,https://www.hotelcaferoyal.com,+44 20 7406 3333,24-Jul,4,4.6,0,Luxury;Spa;West End,,
53,The Connaught,Hotel,Carlos Place,London,W1K 2AL,51.5097,-0.1495,https://www.the-connaught.co.uk,+44 20 7499 7070,24-Jul,4,4.8,0,Luxury;Mayfair;Bar,,
54,Raffles London at The OWO,Hotel,57 Whitehall,London,SW1A 2BX,51.505,-0.126,https://www.raffles.com/london,+44 20 3907 7500,24-Jul,4,4.7,0,History;Luxury;New,,
55,Claridge's,Hotel,Brook Street,London,W1K 4HR,51.5126,-0.1478,https://www.claridges.co.uk,+44 20 7629 8860,24-Jul,4,4.8,0,Royalty;Tea;Art Deco,,
56,The Ritz London,Hotel,150 Piccadilly,London,W1J 9BR,51.507,-0.1416,https://www.theritzlondon.com,+44 20 7493 8181,24-Jul,4,4.6,0,Iconic;Tea;Luxury,,
57,The Dorchester,Hotel,53 Park Lane,London,W1K 1QA,51.5073,-0.1534,https://www.dorchestercollection.com,+44 20 7629 8888,24-Jul,4,4.7,0,Park Lane;Classic;Celebs,,
58,Mandarin Oriental Hyde Park,Hotel,66 Knightsbridge,London,SW1X 7LA,51.502,-0.16,https://www.mandarinoriental.com,+44 20 7235 2000,24-Jul,4,4.6,0,Hyde Park;Luxury;Spa,,
59,Shangri-La The Shard,Hotel,31 St Thomas Street,London,SE1 9QU,51.5045,-0.0865,https://www.shangri-la.com,+44 20 7234 8000,24-Jul,4,4.7,0,Views;Modern;Romance,,
60,The Langham,Hotel,1C Portland Place,London,W1B 1JA,51.516,-0.144,https://www.langhamhotels.com,+44 20 7636 1000,24-Jul,4,4.6,0,History;Tea;Regent St,,
61,Rosewood London,Hotel,252 High Holborn,London,WC1V 7EN,51.5176,-0.118,https://www.rosewoodhotels.com,+44 20 7781 8888,24-Jul,4,4.7,0,Stylish;Bar;Central,,
62,Ham Yard Hotel,Hotel,1 Ham Yard,London,W1D 7DT,51.511,-0.135,https://www.firmdalehotels.com,+44 20 3642 2000,24-Jul,4,4.8,0,Boutique;Soho;Design,,
63,Corinthia London,Hotel,Whitehall Place,London,SW1A 2BD,51.5068,-0.1245,https://www.corinthia.com,+44 20 7930 8181,24-Jul,4,4.7,0,Spa;Luxury;Whitehall,,
64,The Ned,Hotel,27 Poultry,London,EC2R 8AJ,51.5135,-0.089,https://www.thened.com,+44 20 3828 2000,24-Jul,3,4.5,0,City;Nightlife;Dining,,
65,Sea Containers London,Hotel,20 Upper Ground,London,SE1 9PD,51.508,-0.1065,https://www.seacontainerslondon.com,+44 20 3747 1000,24-Jul,3,4.5,0,River;Views;Modern,,
66,The Wolseley,Restaurant,160 Piccadilly,London,W1J 9EB,51.5072,-0.1415,https://www.thewolseley.com,+44 20 7499 6996,07:00-23:00,3,4.6,90,Breakfast;Classic;Buzzing,,
67,Sketch,Restaurant,9 Conduit Street,London,W1S 2XG,51.5126,-0.1413,https://sketch.london,+44 20 7659 4500,09:00-02:00,4,4.4,120,Instagrammable;Art;Unique,,
68,Gymkhana,Restaurant,42 Albemarle Street,London,W1S 4JH,51.5085,-0.1412,https://gymkhanalondon.com,+44 20 7499 8010,12:00-22:30,4,4.6,120,Indian;Michelin;Spicy,,
69,Dishoom Covent Garden,Restaurant,12 Upper St Martin's Ln,London,WC2H 9FB,51.5125,-0.127,https://www.dishoom.com,+44 20 7420 9320,08:00-23:00,2,4.7,90,Indian;Casual;Popular,,
70,Hoppers Soho,Restaurant,49 Frith Street,London,W1D 4SG,51.5133,-0.1315,https://www.hopperslondon.com,,12:00-22:30,2,4.6,60,Sri Lankan;Soho;Spicy,,
71,Barrafina Dean Street,Restaurant,26-27 Dean Street,London,W1D 3LL,51.5135,-0.132,https://www.barrafina.co.uk,+44 20 7813 2555,12:00-23:00,3,4.7,75,Tapas;Counter;Spanish,,
72,Gloria,Restaurant,54-56 Great Eastern St,London,EC2A 3QR,51.5238,-0.0825,https://www.bigmammagroup.com,,12:00-22:45,3,4.6,90,Italian;Vibe;Instagram,,
73,Circolo Popolare,Restaurant,40-41 Rathbone Place,London,W1T 1HX,51.5173,-0.1345,https://www.bigmammagroup.com,,12:00-22:45,3,4.6,90,Italian;Decor;Pasta,,
74,Miga,Restaurant,1 Mare Street,London,E8 4RP,51.5375,-0.055,https://miga.london,,17:00-22:30,3,4.8,90,Korean;Modern;Hackney,,
75,Oma,Restaurant,3 Bedale Street,London,SE1 9AL,51.5052,-0.0905,https://oma.london,,12:00-23:00,3,4.5,90,Greek;Market;New,,
76,Brat,Restaurant,4 Redchurch Street,London,E1 6JL,51.5236,-0.0765,https://bratrestaurant.com,,12:00-23:00,3,4.5,90,Basque;Grill;Shoreditch,,
77,St. JOHN,Restaurant,26 St John Street,London,EC1M 4AY,51.5205,-0.1005,https://stjohnrestaurant.com,+44 20 7251 0848,12:00-23:00,3,4.5,120,British;Nose-to-Tail;Iconic,,
78,Lyle's,Restaurant,56 Shoreditch High St,London,E1 6JJ,51.524,-0.077,https://www.lyleslondon.com,+44 20 3011 5911,12:00-23:00,4,4.6,120,Modern British;Minimal;Foodie,,
79,The Clove Club,Restaurant,380 Old Street,London,EC1V 9LT,51.5262,-0.0805,https://www.thecloveclub.com,+44 20 7729 6496,18:00-22:00,4,4.6,150,Fine Dining;Tasting;Top50,https://www.london-unattached.com/wp-content/uploads/2020/02/Entrance-to-the-Clove-Club.jpg,Fine Dining Experience
80,Core by Clare Smyth,Restaurant,92 Kensington Park Rd,London,W11 2PN,51.512,-0.2045,https://www.corebyclaresmyth.com,+44 20 3937 5086,18:30-22:30,4,4.9,180,Michelin;Fine Dining;Notting Hill,,Fine Dining Experience
83,The Shard,Attraction,32 London Bridge St,London,SE1 9SG,51.5045,-0.0865,https://www.the-shard.com,+44 844 499 7111,10:00-22:00,4,4.6,60,Views;Skyscraper;Bar,,
84,Buckingham Palace,Attraction,Westminster,London,SW1A 1AA,51.5014,-0.1419,https://www.rct.uk/visit/buckingham-palace,+44 303 123 7300,09:30-19:30,3,4.5,120,Royal;Palace;Changing Guard,,
85,Westminster Abbey,Attraction,20 Deans Yd,London,SW1P 3PA,51.4993,-0.1273,https://www.westminster-abbey.org,+44 20 7222 5152,09:30-15:30,3,4.6,90,History;Royal;Church,,
86,St Paul's Cathedral,Attraction,St. Paul's Churchyard,London,EC4M 8AD,51.5138,-0.0984,https://www.stpauls.co.uk,+44 20 7246 8350,08:30-16:30,3,4.7,90,Architecture;Views;Church,,
87,Tower Bridge,Attraction,Tower Bridge Road,London,SE1 2UP,51.5055,-0.0754,https://www.towerbridge.org.uk,+44 20 7403 3761,09:30-18:00,2,4.7,60,Iconic;Views;River,,
88,Kew Gardens,Attraction,Kew,London,TW9 3AE,51.4787,-0.2956,https://www.kew.org,+44 20 8332 5655,10:00-19:00,3,4.8,180,Nature;Gardens;Walk,,
89,ZSL London Zoo,Attraction,Regent's Park,London,NW1 4RY,51.5353,-0.1534,https://www.zsl.org/zsl-london-zoo,+44 344 225 1826,10:00-18:00,4,4.4,240,Animals;Family;Outdoor,,
90,Madame Tussauds,Attraction,Marylebone Road,London,NW1 5LR,51.523,-0.1543,https://www.madametussauds.com/london,+44 871 894 3000,10:00-16:00,4,4.3,120,Wax;Celebs;Family,,
91,London Dungeon,Attraction,County Hall,London,SE1 7PB,51.5033,-0.1195,https://www.thedungeons.com/london,+44 20 7654 0809,10:00-17:00,4,4.4,90,Scary;History;Interactive,,
92,SEA LIFE London,Attraction,County Hall,London,SE1 7PB,51.5033,-0.1195,https://www.visitsealife.com/london,+44 20 7967 8025,10:00-17:00,4,4.3,90,Fish;Family;Aquarium,,
93,Hampton Court Palace,Attraction,Hampton Court Way,London,KT8 9AU,51.4036,-0.3378,https://www.hrp.org.uk/hampton-court-palace,+44 20 3166 6000,10:00-17:30,3,4.8,180,History;Tudor;Gardens,,
